Object,Count,object.corrected,check.again,viewed.image,checker,comments,
spiky toy,6,spiky toy,0,0,KC,,
stuffed animal unicorn,6,stuffed animal,0,0,KC,,
tarp,6,tarp,0,0,KC,,
toy plant,6,toy plant,0,0,KC,,
toy tray,6,toy tray,0,0,KC,,
toy turtle,6,toy turtle,0,0,KC,,
tsek,6,tsek,0,0,KC,,
water bin,6,water,0,1,KC,handwashing/water play context,
wood disc,6,wood disc,0,0,KC,,
wood shavings,6,wood shavings,0,0,KC,,
basketball,7,ball,0,0,KC,,
blue bowl,7,bowl,0,0,KC,,
bowl with food,7,bowl,0,1,KC,some corrections for spoon/unclear food,
deck,7,NA,0,1,KC,added to corrections.csv,
feather,7,feather,0,0,KC,,
flip flop,7,shoe,0,0,KC,,
gardening hoe,7,gardening hoe,0,0,KC,,
green bowl,7,bowl,0,0,KC,,
hair comb,7,comb,0,0,KC,,
knitted blanket,7,blanket,0,0,KC,,
large stick,7,stick,0,1,KC,,
leave,7,leaf,0,0,KC,,
lychee,7,tapioca,0,1,KC,,
metal bowl,7,bowl,0,0,KC,,
orange ball,7,ball,0,0,KC,,
palm tree,7,tree,0,0,KC,,
plastic jug,7,jug,0,1,KC,,
plastic tube,7,empty drink bottle,0,1,KC,possibly not a drink,
red chair,7,chair,0,0,Kc,,
roll of tape,7,tape,0,0,KC,,
ropes,7,swing,0,1,KC,,
sweater,7,sweater,0,1,KC,,
sweatshirt,7,sweater,0,1,KC,,
taro,7,tuber,0,0,KC,,
torilla,7,tortilla,0,0,KC,,
water,7,water,0,1,KC,handwashing/water play context,
white tarp,7,bulk food bag,1,1,KC,,
window,7,window,0,1,KC,made some switches to door/wall,
wrapper,7,candy,0,1,KC,,
bag of masa flour,8,masa,0,0,KC,,
bed,8,bed,0,0,KC,,
bell pepper,8,fruit (unknown variety),0,1,KC,,
cell phone,8,phone,0,0,KC,,
cleaning solution,8,cleaning solution,0,0,KC,,
crayon,8,crayon,0,1,KC,,
cut up plastic bottle,8,cut up plastic bottle,1,1,KC,seems to be shaped into a flower?,
food on skewer,8,"skewer, seafood",0,1,KC,,
net/hammock,8,hammock,0,1,KC,,
orange bucket,8,bucket,0,0,KC,,
paper towel,8,roll of paper towels,0,1,KC,confirmed that this is different from napkin,
passion fruit,8,passionfruit,0,0,KC,,
roofing,8,roofing,0,0,KC,,
sling,8,baby sling,0,0,KC,,
wheelbarrow wheel,8,wheelbarrow,0,0,KC,,
wooden slat,8,wood slat,0,1,KC,,
action figure,9,action figure,0,0,KC,,
band,9,bracelet,0,1,KC,,
bark,9,bark,0,1,KC,,
cardboard box,9,cardboard box,0,1,KC,"moved some to cardboard packaging, current distinction is protoypical moving box = cardboard box, miscellaneous packaging = cardboard packaging",
cement fragment,9,cement fragment,0,0,KC,,
glasses,9,glasses,0,0,KC,,
mop,9,mop,0,0,KC,,
pole,9,NA,0,1,KC,added to corrections.csv,
sandal,9,shoe,0,0,KC,,
tapioca,9,tapioca,0,0,KC,,
towel,9,towel,0,1,KC,some switched to clothing,
video game console,9,video game console,0,0,KC,,
vine,9,plant,0,1,KC,,
audio recording vest,10,vest,0,0,KC,,
bubble blower,10,bubble wand,0,0,KC,,
food wrapper,10,candy,0,1,KC,,
green toy,10,NA,0,1,KC,added to corrections.csv,
jar,10,jar,0,0,KC,,
long piece of plastic,10,plastic fragment,0,1,KC,,
maize,10,corn,0,1,KC,,
pink bowl,10,bowl,0,0,KC,,
plant pot,10,plant pot,0,0,KC,,
sink,10,sink,0,0,KC,,
sponge,10,sponge,0,0,KC,,
stalk of leaf,10,leaf,0,1,KC,,
tag,10,tag,0,0,KC,,
tinfoil,10,tin foil,0,0,KC,,
wooden tongs,10,tongs,0,0,KC,,
black tube,11,rubber fragment,1,1,KC,better label?,
blue truck,11,toy car,0,1,KC,,
camera cover,11,camera cover,0,0,KC,,
drumstick,11,meat,0,1,KC,,
floral fabric,11,bed sheet,0,1,KC,better label?,
hat,11,hat,0,0,KC,,
ladder,11,NA,0,1,KC,added to corrections.csv,
leather bag,11,purse,0,1,KC,,
necklace,11,necklace,0,0,KC,,
plant stem,11,plant,0,0,KC,,
scissors,11,scissors,0,0,KC,,
teddy bear,11,teddy bear,0,0,KC,,
white cornmeal drink,11,mats,0,0,KC,,
yarn,11,yarn,0,0,KC,,
bottle carrier,12,water bottle carrier,0,1,KC,,
fishing debrris,12,fishing debris,0,1,KC,,
flashlight,12,flashlight,0,0,KC,,
flat shoe,12,shoe,0,0,KC,,
grey bucket,12,bucket,0,0,KC,,
gum? candy?,12,candy,0,0,KC,,
handheld mirror,12,mirror,0,0,KC,,
large plastic bin,12,large plastic bin,1,1,KC,possibly a better label,
lunchbox,12,lunchbox,0,0,KC,,
mirror,12,mirror,0,0,KC,,
notebook,12,notebook,0,0,KC,,
package,12,NA,NA,NA,NA,,
pink toy,12,NA,0,1,KC,added to corrections.csv,
plastic chair,12,chair,0,0,KC,,
plastic sheet,12,plastic sheet,1,0,KC,maybe a better label but different from everything else,
rope/net,12,fishnet,0,1,KC,,
rug,12,rug,0,0,KC,,
seashell,12,shell,0,0,KC,,
straw,12,straw,0,1,KC,,
wagon,12,wagon,0,0,KC,,
water jug,12,jug,0,1,KC,,
white thing,12,NA,0,1,KC,added to corrections.csv,
wood platform,12,bench,1,1,KC,better label?,
wooden house frame,12,NA,0,1,KC,added to corrections.csv,
wooden twig,12,stick,0,1,KC,,
zebra toy,12,vase,0,0,KC,,
blue soccer ball,13,ball,0,0,KC,,
bread sheet,13,bready sheet,0,1,KC,,
buoy,13,buoy,0,0,KC,,
cloth,13,fabric,1,1,KC,"added some to corrections.csv, possibly further distinction between clothing and other misc fabric",
drinking water,13,drinking water,0,0,KC,,
flexible black tube,13,rubber fragment,1,0,KC,better label?,
knitting needle,13,knitting needle,0,0,KC,,
net hammock,13,hammock,0,0,KC,,
pipe instrument,13,pipe instrument,0,0,KC,,
purse,13,purse,0,0,KC,,
red truck,13,toy car,0,1,KC,,
wooden platform,13,table,1,1,KC,immovable MC check,
child bathtub,14,baby bathtub,0,0,KC,,
crate,14,crate,0,0,KC,,
netting (possibly a hammock),14,hammock,0,1,KC,,
plastic bowl,14,bowl,0,0,KC,,
plastic chiar,14,chair,0,0,KC,,
plastic clip,14,plastic clip,0,1,KC,possible merge with metal clip (not hair clip),
red strainer,14,strainer,0,0,KC,,
rubber band,14,rubber band,0,0,KC,,
starfruit,14,starfruit,0,0,KC,,
truck,14,vehicle,0,1,KC,,
wash basin,14,wash basin,0,0,KC,,
baby doll,15,doll,0,0,KC,,
black beans,15,bean,0,0,KC,,
blue boots,15,shoe,0,0,KC,,
blue toothbrush,15,toothbrush,0,0,KC,,
corn plant,15,corn plant,0,1,KC,other plant vs. food distinctions?,
green metal water bottle,15,reusable water bottle,0,1,KC,,
log,15,firewood,1,1,KC,possibly some other distinctions,
plastic bucket,15,bucket,0,0,KC,,
plastic container,15,container,0,1,KC,,
ruler,15,ruler,0,0,KC,,
sand,15,sand,0,0,KC,,
shell,15,shell,0,1,KC,,
sock,15,sock,0,0,KC,,
utensil,15,spoon,0,1,KC,,
wire,15,wire,0,0,KC,,
